class,age,expID,sessionID,filename,valid
tree,3,cdmrunv3,1533940029619.png,tree_sketch_age3_cdm_run_v31533940029619.png,1
tree,3,cdmrunv3,1533940341551.png,tree_sketch_age3_cdm_run_v31533940341551.png,1
tree,3,cdmrunv3,1534624900915.png,tree_sketch_age3_cdm_run_v31534624900915.png,1
tree,3,cdmrunv3,1534629175792.png,tree_sketch_age3_cdm_run_v31534629175792.png,1
tree,4,cdmrunv3,1533323370032.png,tree_sketch_age4_cdm_run_v31533323370032.png,1
tree,4,cdmrunv3,1533581724973.png,tree_sketch_age4_cdm_run_v31533581724973.png,1
tree,4,cdmrunv3,1533589389429.png,tree_sketch_age4_cdm_run_v31533589389429.png,1
tree,4,cdmrunv3,1533676898644.png,tree_sketch_age4_cdm_run_v31533676898644.png,1
tree,4,cdmrunv3,1535480202543.png,tree_sketch_age4_cdm_run_v31535480202543.png,1
tree,5,cdmrunv3,1535925592252.png,tree_sketch_age5_cdm_run_v31535925592252.png,1
tree,5,cdmrunv3,1535927005519.png,tree_sketch_age5_cdm_run_v31535927005519.png,1
tree,5,cdmrunv3,1535927234711.png,tree_sketch_age5_cdm_run_v31535927234711.png,1
tree,5,cdmrunv3,1535927928423.png,tree_sketch_age5_cdm_run_v31535927928423.png,1
tree,5,cdmrunv3,1536002482738.png,tree_sketch_age5_cdm_run_v31536002482738.png,1
tree,5,cdmrunv3,1536008079993.png,tree_sketch_age5_cdm_run_v31536008079993.png,1
tree,5,cdmrunv3,1536015899873.png,tree_sketch_age5_cdm_run_v31536015899873.png,1
tree,6,cdmrunv3,1525887854758.png,tree_sketch_age6_cdm_run_v31525887854758.png,1
tree,6,cdmrunv3,1525891444648.png,tree_sketch_age6_cdm_run_v31525891444648.png,1
tree,6,cdmrunv3,1525891955621.png,tree_sketch_age6_cdm_run_v31525891955621.png,1
tree,6,cdmrunv3,1525893423612.png,tree_sketch_age6_cdm_run_v31525893423612.png,1
tree,7,cdmrunv3,1535826295814.png,tree_sketch_age7_cdm_run_v31535826295814.png,1
tree,7,cdmrunv3,1535919450357.png,tree_sketch_age7_cdm_run_v31535919450357.png,1
tree,7,cdmrunv3,1535920421756.png,tree_sketch_age7_cdm_run_v31535920421756.png,1
tree,7,cdmrunv3,1535920734002.png,tree_sketch_age7_cdm_run_v31535920734002.png,1
tree,7,cdmrunv3,1535929178925.png,tree_sketch_age7_cdm_run_v31535929178925.png,1
tree,7,cdmrunv3,1535999911891.png,tree_sketch_age7_cdm_run_v31535999911891.png,1
tree,7,cdmrunv3,1536076800189.png,tree_sketch_age7_cdm_run_v31536076800189.png,1
tree,8,cdmrunv3,1525908911986.png,tree_sketch_age8_cdm_run_v31525908911986.png,1
tree,8,cdmrunv3,1526074471797.png,tree_sketch_age8_cdm_run_v31526074471797.png,1
tree,8,cdmrunv3,1532545415363.png,tree_sketch_age8_cdm_run_v31532545415363.png,1
tree,8,cdmrunv3,1532555117955.png,tree_sketch_age8_cdm_run_v31532555117955.png,1
tree,8,cdmrunv3,1534717934779.png,tree_sketch_age8_cdm_run_v31534717934779.png,1
